RSI,MeanToStdDev,PL
44.66865,-0.2725622,WeakBuy
45.58838,0.6298184,WeakSell
54.05368,0.6442099,WeakBuy
54.67813,1.039931,WeakSell
61.03328,1.015304,WeakSell
60.72326,0.5127439,WeakSell
58.33827,1.090291,WeakSell
60.47357,0.4880475,WeakSell
56.48632,0.6709843,WeakSell
58.38387,0.8511153,WeakSell
57.3678,0.3022047,WeakSell
51.48135,-0.07882081,WeakSell
50.07988,-0.4756485,WeakBuy
44.10147,-0.2975832,WeakBuy
44.84021,-0.1285007,WeakSell
43.27685,-0.422529,WeakBuy
39.7061,-0.2962279,WeakBuy
42.5204,0.1407009,WeakSell
47.4029,0.4714015,WeakSell
49.03028,0.4785334,WeakSell
52.17944,0.7998141,WeakSell
53.80442,1.223652,Sell
57.10804,0.3976992,WeakSell
53.61119,0.414622,WeakSell
56.2272,0.02472887,WeakSell
51.68762,0.4746453,Sell
60.51612,0.0493814,Sell
56.3651,-0.8571931,WeakSell
49.19904,-0.8874582,WeakSell
48.83677,-1.922025,WeakSell
42.99026,-2.511452,WeakSell
36.70231,-4.354347,WeakBuy
29.54312,-1.616922,WeakSell
41.30496,-1.726149,WeakSell
40.13243,-1.774573,WeakSell
40.45373,-2.395304,WeakBuy
34.18257,-1.590477,WeakBuy
40.53666,-1.334011,WeakSell
41.31078,-1.498692,WeakBuy
38.78254,-1.405235,WeakBuy
40.20538,-1.042414,WeakSell
44.38344,-0.6719397,WeakSell
49.05962,-0.07916892,WeakSell
53.3545,0.58318,Sell
57.73899,-0.5601321,WeakSell
48.98344,0.0008717234,Sell
52.54184,-0.6879332,Sell
46.19867,-0.3375411,Sell
47.40429,-1.283405,WeakSell
41.1441,-1.630625,WeakSell
37.92587,-1.26353,Sell
38.56126,-2.337548,WeakSell
34.21571,-1.933785,WeakSell
36.52386,-1.875787,WeakSell
36.8058,-1.110761,Sell
40.67091,-1.666133,WeakSell
37.98029,-1.338939,Sell
41.41601,-1.540976,Sell
39.6903,-3.024302,WeakSell
33.59195,-2.101799,WeakSell
38.73341,-1.430534,Sell
45.29936,-1.695718,WeakSell
39.55293,-1.209543,Sell
43.67678,-2.20911,WeakSell
37.48536,-1.710092,WeakSell
41.49035,-1.964158,WeakSell
37.56755,-1.824351,WeakSell
37.0223,-1.594836,WeakSell
38.43505,-1.703731,WeakSell
36.69897,-1.950361,WeakSell
32.97904,-1.604076,WeakSell
34.80435,-1.442776,WeakSell
33.69261,-1.744114,WeakSell
28.29776,-1.990299,WeakBuy
27.49176,-1.857352,WeakBuy
