Date,Price,Open,High,Low,Change
2006-04-06,1.2226,1.2298,1.2334,1.2197,-0.57%
2006-04-05,1.2296,1.2262,1.2308,1.2243,0.33%
2006-04-04,1.2256,1.2134,1.2279,1.2119,0.97%
2006-04-03,1.2138,1.2121,1.2149,1.2031,0.16%
2006-03-31,1.2119,1.2165,1.2176,1.2077,-0.42%
2006-03-30,1.217,1.2027,1.217,1.202,1.17%
2006-03-29,1.2029,1.2001,1.205,1.1976,0.22%
2006-03-28,1.2003,1.2014,1.2111,1.1992,-0.09%
2006-03-27,1.2014,1.2039,1.2064,1.2003,-0.18%
2006-03-24,1.2036,1.1972,1.2048,1.195,0.53%
2006-03-23,1.1972,1.2077,1.2083,1.1955,-0.89%
2006-03-22,1.2079,1.2094,1.2115,1.2064,-0.07%
2006-03-21,1.2088,1.2167,1.2167,1.2073,-0.65%
2006-03-20,1.2167,1.2186,1.22,1.2147,-0.19%
2006-03-17,1.219,1.2176,1.2208,1.2139,0.08%
2006-03-16,1.218,1.2069,1.219,1.2033,0.90%
2006-03-15,1.2071,1.2013,1.2076,1.2005,0.46%
2006-03-14,1.2016,1.196,1.2033,1.1936,0.46%
2006-03-13,1.1961,1.1917,1.1972,1.1911,0.39%
2006-03-10,1.1915,1.1912,1.1934,1.1859,0.01%
2006-03-09,1.1914,1.1924,1.1954,1.1901,-0.08%
2006-03-08,1.1923,1.1886,1.1942,1.1871,0.31%
2006-03-07,1.1886,1.2019,1.2024,1.1868,-1.10%
2006-03-06,1.2018,1.205,1.2094,1.1989,-0.17%
2006-03-03,1.2039,1.2039,1.2054,1.1993,-0.02%
2006-03-02,1.2041,1.1917,1.2046,1.1911,1.06%
2006-03-01,1.1915,1.1921,1.1976,1.189,-0.05%
2006-02-28,1.1921,1.1848,1.1944,1.1835,0.63%
2006-02-27,1.1846,1.1871,1.1879,1.1824,-0.23%
2006-02-24,1.1873,1.1923,1.1936,1.1864,-0.42%
2006-02-23,1.1923,1.1911,1.1972,1.1888,0.10%
2006-02-22,1.1911,1.1913,1.193,1.1858,0.00%
2006-02-21,1.1911,1.1938,1.1944,1.189,-0.23%
2006-02-20,1.1938,1.1932,1.1976,1.1923,0.03%
2006-02-17,1.1934,1.1904,1.1944,1.1856,0.32%
2006-02-16,1.1896,1.1892,1.1904,1.1847,0.09%
2006-02-15,1.1885,1.1916,1.1956,1.1871,-0.25%
2006-02-14,1.1915,1.19,1.1925,1.1856,0.08%
2006-02-13,1.1905,1.1903,1.1925,1.1878,0.04%
2006-02-10,1.19,1.198,1.2027,1.1892,-0.68%
2006-02-09,1.1981,1.1964,1.1997,1.1946,0.22%
2006-02-08,1.1955,1.198,1.1997,1.1923,-0.16%
2006-02-07,1.1974,1.1966,1.2016,1.194,0.09%
2006-02-06,1.1963,1.2037,1.2048,1.1944,-0.51%
2006-02-03,1.2024,1.2092,1.2113,1.1968,-0.61%
2006-02-02,1.2098,1.2058,1.2109,1.2031,0.31%
2006-02-01,1.2061,1.2153,1.2166,1.2048,-0.77%
2006-01-31,1.2155,1.2092,1.2191,1.2077,0.55%
2006-01-30,1.2088,1.2106,1.2117,1.2062,-0.10%
2006-01-27,1.21,1.2205,1.2237,1.2085,-0.93%
2006-01-26,1.2214,1.2244,1.2272,1.22,-0.26%
